Date,Open,High,Low,Close,Adj Close,Volume
2017-10-24,61.389999,61.660000,60.990002,61.349998,60.465965,508314
2017-10-25,61.049999,61.459999,60.880001,61.099998,60.219566,551419
2017-10-26,61.009998,62.330002,61.009998,62.250000,61.352997,617045
2017-10-27,62.490002,62.900002,62.279999,62.650002,61.747234,537035
2017-10-30,62.560001,63.590000,62.560001,63.310001,62.397724,522188
2017-10-31,63.320000,63.840000,63.200001,63.770000,62.851097,496032
2017-11-01,63.860001,64.019997,63.590000,63.759998,62.841240,500995
2017-11-02,63.919998,64.199997,63.720001,63.990002,63.067928,581775
2017-11-03,63.959999,64.199997,63.680000,64.199997,63.274899,445617
2017-11-06,64.000000,64.239998,63.840000,63.919998,62.998932,442362
2017-11-07,63.500000,63.500000,62.750000,62.990002,62.082336,682024
2017-11-08,62.980000,63.400002,62.590000,62.750000,61.845795,595597
2017-11-09,62.630001,62.880001,62.259998,62.419998,61.520546,759131
2017-11-10,62.250000,62.330002,61.650002,61.759998,60.870056,464691
2017-11-13,61.810001,61.810001,61.070000,61.500000,60.613808,517088
2017-11-14,61.419998,61.810001,61.189999,61.540001,60.653229,672392
2017-11-15,61.430000,61.779999,60.869999,61.619999,60.732075,625873
2017-11-16,61.750000,62.590000,61.619999,62.549999,61.648674,783426
2017-11-17,62.500000,62.630001,62.090000,62.160000,61.264294,712753
2017-11-20,62.080002,62.470001,62.009998,62.320000,61.421989,451710
2017-11-21,62.340000,62.750000,62.040001,62.279999,61.382565,640723
2017-11-22,62.200001,62.520000,61.970001,61.970001,61.077034,371071
2017-11-23,61.770000,62.470001,61.630001,62.360001,61.461414,272395
2017-11-24,62.259998,62.610001,62.119999,62.270000,61.372711,302152
2017-11-27,62.119999,62.599998,61.970001,62.299999,61.402279,442081
2017-11-28,62.430000,62.639999,62.180000,62.529999,61.628963,384867
2017-11-29,62.779999,63.060001,62.400002,62.610001,61.707813,615398
2017-11-30,62.750000,63.049999,62.290001,62.959999,62.052769,779113
2017-12-01,62.869999,63.000000,62.070000,62.139999,61.244583,732024
2017-12-04,62.750000,63.130001,62.349998,63.040001,62.131615,571294
2017-12-05,63.139999,63.730000,62.689999,62.840000,61.934498,613426
2017-12-06,62.470001,63.049999,62.049999,62.790001,61.885220,476301
2017-12-07,62.730000,63.220001,62.730000,63.220001,62.309021,363112
2017-12-08,63.299999,63.500000,63.029999,63.070000,62.161182,453010
2017-12-11,63.250000,63.320000,62.910000,63.000000,62.092190,325159
2017-12-12,63.000000,63.790001,62.540001,63.750000,62.831383,525170
2017-12-13,63.810001,63.990002,63.119999,63.410000,62.496284,474531
2017-12-14,63.230000,63.400002,62.779999,62.910000,62.003487,523006
2017-12-15,62.750000,63.320000,62.660000,63.320000,62.407581,759220
2017-12-18,63.799999,64.339996,63.709999,64.150002,63.225620,614710
2017-12-19,63.980000,64.230003,63.900002,64.050003,63.127064,317541
2017-12-20,63.900002,64.059998,63.410000,63.639999,62.722969,376520
2017-12-21,63.330002,64.309998,63.099998,64.300003,63.373463,482451
2017-12-22,64.050003,64.360001,64.000000,64.349998,63.422737,338877
2017-12-27,64.279999,64.779999,64.180000,64.720001,63.787407,366239
2017-12-28,64.660004,64.730003,64.349998,64.459999,63.531151,288723
2017-12-29,64.239998,64.440002,64.080002,64.190002,63.265045,253984
